Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Aditya Birla Sun Life Mutual Fund
100970;Aditya Birla Sun Life MIP - Regular Plan - Growth;INF209K01694;;29.8659;29.5672;29.8659;22-Nov-2012
100971;Aditya Birla Sun Life MIP - Regular Plan - Monthly Dividend;INF209K01702;;11.5008;11.3858;11.5008;22-Nov-2012
100972;Aditya Birla Sun Life MIP - Regular Plan - Monthly Payment;INF209K01710;;29.8659;29.5672;29.8659;22-Nov-2012
101713;Aditya Birla Sun Life MIP II - Saving 5 Plan - Growth - Regular Plan;INF209K01728;;20.3235;20.1203;20.3235;22-Nov-2012
101711;Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Dividend - Regular Plan;INF209K01736;INF209K01DE3;11.7093;11.5922;11.7093;22-Nov-2012
101712;Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Growth /Payment;INF209K01744;;20.3235;20.1203;20.3235;22-Nov-2012
103184;Aditya Birla Sun Life Monthly Income - Dividend - Regular Plan;INF209K01AX9;INF209K01DX3;11.4212;11.3070;11.4212;22-Nov-2012
103185;Aditya Birla Sun Life Monthly Income - Growth - Regular Plan;INF209K01AZ4;;41.0493;40.6388;41.0493;22-Nov-2012
103186;Aditya Birla Sun Life Monthly Income - Quarterly Dividend - Regular Plan;INF209K01AY7;INF209K01DY1;12.0386;11.9182;12.0386;22-Nov-2012

Bandhan Mutual Fund
108784;BANDHAN Dynamic Bond Fund - Annual Dividend;INF194K01QE9;INF194K01QD1;14.4674;14.4674;14.4674;22-Nov-2012
108554;BANDHAN Dynamic Bond Fund - Quarterly Dividend;INF194K01QB5;INF194K01QA7;12.0029;12.0029;12.0029;22-Nov-2012
108625;IDFC - SSIF - ST -Plan B - Growth;INF194K01HM1;;12.9996;12.9996;12.9996;22-Nov-2012
108759;IDFC - SSIF - ST -Plan B - Monthly Dividend;INF194K01HO7;INF194K01HN9;10.2480;10.2480;10.2480;22-Nov-2012
112366;IDFC - SSIF - Short Term- Plan F Dividend;INF194K01IJ5;INF194K01II7;10.8718;10.8718;10.8718;22-Nov-2012
112367;IDFC - SSIF - Short Term- Plan F Growth;INF194K01IH9;;12.3452;12.3452;12.3452;22-Nov-2012
108786;IDFC Dynamic Bond Fund - Growth;INF194K01PZ6;;22.5071;22.5071;22.5071;22-Nov-2012
108738;IDFC Money Manager Fund-Investment Plan-Regular Plan-Annual Div.;INF194K01NQ0;INF194K01NP2;10.0500;10.0500;10.0500;22-Nov-2012
108742;IDFC Money Manager Fund-Investment Plan-Regular Plan-Daily Div.;INF194K01NW8;INF194K01NV0;10.1023;10.1023;10.1023;22-Nov-2012
108736;IDFC Money Manager Fund-Investment Plan-Regular Plan-Growth;INF194K01NO5;;17.7303;17.7303;17.7303;22-Nov-2012
108739;IDFC Money Manager Fund-Investment Plan-Regular Plan-Monthly Div.;INF194K01OC8;INF194K01OB0;10.1897;10.1897;10.1897;22-Nov-2012
108737;IDFC Money Manager Fund-Investment Plan-Regular Plan-Qtrly Div.;INF194K01NT4;INF194K01NS6;10.0064;10.0064;10.0064;22-Nov-2012
108740;IDFC Money Manager Fund-Investment Plan-Regular Plan-Weekly Div.;INF194K01NZ1;INF194K01NY4;10.2346;10.2346;10.2346;22-Nov-2012
