Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Debt Scheme - Overnight Fund )


Aditya Birla Sun Life Mutual Fund
145488;ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Direct - Monthly Payout of IDCW;INF209KB1ZL4;;1001.3881;;;08-Jun-2025
145489;ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Direct - Weekly Reinvestment of IDCW;;INF209KB1ZJ8;1000.3123;;;08-Jun-2025
145482;ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Regular - Weekly Reinvestment of IDCW option;;INF209KB1ZE9;1000.304;;;08-Jun-2025
145487;ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Daily Reinvestment of IDCW;;INF209KB1ZI0;1000.02;;;08-Jun-2025
145483;ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular - Daily Reinvestment of IDCW;;INF209KB1ZD1;1000.02;;;08-Jun-2025
145485;ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular- Monthly Payout of IDCW option;INF209KB1ZG4;;1001.3619;;;08-Jun-2025
145486;ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH;INF209KB1ZH2;;1396.2838;;;08-Jun-2025
145481;ADITYA BIRLA SUNLIFE OVERNIGHT FUND-REGULAR PLAN-GROWTH;INF209KB1ZC3;;1385.6685;;;08-Jun-2025

Axis Mutual Fund
146679;Axis Overnight Fund - Direct Plan - Daily IDCW;;INF846K01N99;1000.5073;;;08-Jun-2025
146675;Axis Overnight Fund - Direct Plan - Growth Option;INF846K01N65;;1366.1295;;;08-Jun-2025
146677;Axis Overnight Fund - Direct Plan - Monthly IDCW;INF846K01N73;INF846K01N81;1002.8599;;;08-Jun-2025
146676;Axis Overnight Fund - Direct Plan - Weekly IDCW;INF846K01N40;INF846K01N57;1001.6190;;;08-Jun-2025
146682;Axis Overnight Fund - Regular Plan - Daily IDCW;;INF846K01O56;1000.5032;;;08-Jun-2025
146678;Axis Overnight Fund - Regular Plan - Growth Option;INF846K01O23;;1361.5158;;;08-Jun-2025
146681;Axis Overnight Fund - Regular Plan - Monthly IDCW;INF846K01O31;INF846K01O49;1002.8393;;;08-Jun-2025
146680;Axis Overnight Fund - Regular Plan - Weekly IDCW;INF846K01O07;INF846K01O15;1001.5833;;;08-Jun-2025

Bajaj Finserv Mutual Fund
153437;Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years IDCW Plan;INF0QA701AE3;;1007.0690;;;08-Jun-2025
153438;Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years Redemption Plan;INF0QA701AF0;;1011.5387;;;08-Jun-2025
151843;Bajaj Finserv Overnight Fund - Direct Plan - Daily - IDCW;;INF0QA701185;1033.1412;;;08-Jun-2025
151850;Bajaj Finserv Overnight Fund - Direct Plan - Fortnightly - IDCW;INF0QA701235;INF0QA701201;1034.0874;;;08-Jun-2025
151849;Bajaj Finserv Overnight Fund - Direct Plan - Growth;INF0QA701177;;1132.1353;;;08-Jun-2025
151845;Bajaj Finserv Overnight Fund - Direct Plan - Monthly - IDCW;INF0QA701243;INF0QA701219;1037.0271;;;08-Jun-2025
151844;Bajaj Finserv Overnight Fund - Direct Plan - Weekly - IDCW;INF0QA701227;INF0QA701193;1034.0851;;;08-Jun-2025
151852;Bajaj Finserv Overnight Fund - Regular Plan - Daily - IDCW;;INF0QA701292;1032.8859;;;08-Jun-2025
151847;Bajaj Finserv Overnight Fund - Regular Plan - Fortnightly - IDCW;INF0QA701318;INF0QA701276;1033.8347;;;08-Jun-2025
151851;Bajaj Finserv Overnight Fund - Regular Plan - Growth;INF0QA701250;;1131.0444;;;08-Jun-2025
151848;Bajaj Finserv Overnight Fund - Regular Plan - Monthly - IDCW;INF0QA701326;INF0QA701284;1036.7459;;;08-Jun-2025
151846;Bajaj Finserv Overnight Fund - Regular Plan - Weekly - IDCW;INF0QA701300;INF0QA701268;1033.8244;;;08-Jun-2025

Bandhan Mutual Fund
146190;BANDHAN Overnight Fund - Direct Plan - Daily IDCW;INF194KB1462;INF194KB1470;1000.0073;;;08-Jun-2025
146191;BANDHAN Overnight Fund - Direct Plan - Growth;INF194KB1447;;1376.7530;;;08-Jun-2025
146183;BANDHAN Overnight Fund - Direct Plan - Monthly IDCW;INF194KB1496;INF194KB1504;1001.5495;;;08-Jun-2025
146184;BANDHAN Overnight Fund - Direct Plan - Periodic IDCW;INF194KB1520;INF194KB1538;1254.4410;;;08-Jun-2025
146192;BANDHAN Overnight Fund - Direct Plan - Weekly IDCW;INF194KB1553;INF194KB1561;1000.3665;;;08-Jun-2025
146188;BANDHAN Overnight Fund - Regular Plan - Daily IDCW;INF194KB1330;INF194KB1348;1000.0073;;;08-Jun-2025
146187;BANDHAN Overnight Fund - Regular Plan - Growth;INF194KB1314;;1367.2177;;;08-Jun-2025
146185;BANDHAN Overnight Fund - Regular Plan - Monthly IDCW;INF194KB1363;INF194KB1371;1001.5386;;;08-Jun-2025
146189;BANDHAN Overnight Fund - Regular Plan - Weekly IDCW;INF194KB1421;INF194KB1439;1001.2293;;;08-Jun-2025
146186;BANDHAN Overnight Fund - REGULAR PLAN PERIODIC IDCW;INF194KB1397;INF194KB1405;1251.0036;;;08-Jun-2025

Bank of India Mutual Fund
147951;BANK OF INDIA Overnight Fund Direct Plan Growth;INF761K01EU7;;1310.0769;;;08-Jun-2025
147952;BANK OF INDIA Overnight Fund Direct Plan- Daily IDCW;;INF761K01EV5;1000.0000;;;08-Jun-2025
147948;BANK OF INDIA Overnight Fund Direct Plan- Monthly IDCW;INF761K01EY9;INF761K01EX1;1002.0362;;;08-Jun-2025
147936;BANK OF INDIA Overnight Fund Regular Plan Growth;INF761K01EZ6;;1306.5128;;;08-Jun-2025
147953;BANK OF INDIA Overnight Fund Regular Plan- Daily IDCW;;INF761K01FA6;1000.0000;;;08-Jun-2025
147949;BANK OF INDIA Overnight Fund Regular Plan- Monthly IDCW;INF761K01FD0;INF761K01FC2;1002.0251;;;08-Jun-2025
147947;BANK OF INDIA Overnight Fund Regular Plan- Weekly IDCW;;INF761K01FB4;1000.9222;;;08-Jun-2025
149412;BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Greater than 3 Years;;;1000.0000;;;08-Jun-2025
149414;BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Up to 3 Years;;;1231.7889;;;08-Jun-2025
149415;BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Greater than 3 Years;;;1000.0000;;;08-Jun-2025
149413;BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Upto 3 Years;;;1232.0819;;;08-Jun-2025

Baroda BNP Paribas Mutual Fund
147197;Baroda BNP Paribas Overnight Fund - Direct Plan - Daily IDCW;;INF955L01HW2;1000.0029;;;08-Jun-2025
147196;Baroda BNP Paribas Overnight Fund - Direct Plan - Growth;INF955L01HV4;;1355.7983;;;08-Jun-2025
147195;Baroda BNP Paribas Overnight Fund - Direct Plan - Weekly IDCW;;INF955L01HX0;1000.8662;;;08-Jun-2025
149988;Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed IDCW - Greater than 3 years;;;1000.0000;;;08-Jun-2025
149991;Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed IDCW - Up to 3 years;;;1216.4446;;;08-Jun-2025
149990;Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed Redemption - Greater than 3 years;;;1000.0000;;;08-Jun-2025
149989;Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed Redemption - Up to 3 years;;;1216.4307;;;08-Jun-2025
147194;Baroda BNP Paribas Overnight Fund - Regular Plan - Daily IDCW;;INF955L01HT8;1000.0020;;;08-Jun-2025
147193;Baroda BNP Paribas Overnight Fund - Regular Plan - Growth;INF955L01HS0;;1350.4377;;;08-Jun-2025
147198;Baroda BNP Paribas Overnight Fund - Regular Plan - Weekly IDCW;;INF955L01HU6;1001.3394;;;08-Jun-2025

Canara Robeco Mutual Fund
147532;CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - DAILY IDCW (Reinvestment);;INF760K01JN3;1001.0012;;;08-Jun-2025
147531;CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - GROWTH OPTION;INF760K01JM5;;1333.1875;;;08-Jun-2025
147533;CANARA ROBECO OVERNIGHT FUND - REGULAR PLAN - DAILY IDCW (Reinvestment);;INF760K01JP8;1001.0000;;;08-Jun-2025
147534;CANARA ROBECO OVERNIGHT FUND - REGULAR PLAN - GROWTH OPTION;INF760K01JO1;;1331.8987;;;08-Jun-2025

DSP Mutual Fund
146062;DSP Overnight Fund - Direct Plan - Growth;INF740KA1MC8;;1382.7135;;;08-Jun-2025
146065;DSP Overnight Fund - Direct Plan - IDCW - Daily;;INF740KA1OR2;1000.0099;;;08-Jun-2025
146061;DSP Overnight Fund - Regular Plan - Growth;INF740KA1MB0;;1375.5738;;;08-Jun-2025
146066;DSP Overnight Fund - Regular Plan - IDCW - Daily;;INF740KA1OU6;1000.0099;;;08-Jun-2025
146063;DSP Overnight Fund - Regular Plan - IDCW - Weekly;INF740KA1OV4;INF740KA1OW2;1000.6106;;;08-Jun-2025
149313;Unclaimed IDCW - Beyond 3 years (Invested in DSP Overnight Fund);;;10.0000;;;08-Jun-2025
149312;Unclaimed IDCW - Upto 3 years (Invested in DSP Overnight Fund);;;12.3169;;;08-Jun-2025
149311;Unclaimed Redemption - Beyond 3 years (Invested in DSP Overnight Fund);;;10.0000;;;08-Jun-2025
149310;Unclaimed Redemption - Upto 3 years (Invested in DSP Overnight Fund);;;12.3168;;;08-Jun-2025

Edelweiss Mutual Fund
147551;Edelweiss Overnight Fund - Direct Plan - Annual - IDCW Option;INF754K01KD5;INF754K01KC7;1336.3105;;;08-Jun-2025
147557;Edelweiss Overnight Fund - Direct Plan - Daily - IDCW Option;;INF754K01JW7;1000.1294;;;08-Jun-2025
147570;Edelweiss Overnight Fund - Direct Plan - Growth;INF754K01JV9;;1335.8536;;;08-Jun-2025
147554;Edelweiss Overnight Fund - Direct Plan - Monthly - IDCW Option;INF754K01KB9;INF754K01KA1;1059.7701;;;08-Jun-2025
147556;Edelweiss Overnight Fund - Regular Plan - Annual - IDCW Option;INF754K01KM6;INF754K01KL8;1331.501;;;08-Jun-2025
147552;Edelweiss Overnight Fund - Regular Plan - Daily - IDCW Option;;INF754K01KF0;1008.3138;;;08-Jun-2025
147549;Edelweiss Overnight Fund - Regular Plan - Fortnightly - IDCW Option;INF754K01KI4;INF754K01KH6;1096.9436;;;08-Jun-2025
147569;Edelweiss Overnight Fund - Regular Plan - Growth;INF754K01KE3;;1331.496;;;08-Jun-2025
147555;Edelweiss Overnight Fund - Regular Plan - Monthly - IDCW Option;INF754K01KK0;INF754K01KJ2;1006.5412;;;08-Jun-2025
147553;Edelweiss Overnight Fund - Regular Plan - Weekly - IDCW Option;;INF754K01KG8;1017.2375;;;08-Jun-2025
149476;Edelweiss Overnight Fund - Unclaimed IDCW Plan - Above 3 years;;;1000;;;08-Jun-2025
149477;Edelweiss Overnight Fund - Unclaimed IDCW Plan - Upto 3 years;;;1222.234;;;08-Jun-2025
149479;Edelweiss Overnight Fund - Unclaimed Redemption Plan - Above 3 years;;;1000;;;08-Jun-2025
149478;Edelweiss Overnight Fund - Unclaimed Redemption Plan - Upto 3 years;;;1222.2325;;;08-Jun-2025

Franklin Templeton Mutual Fund
147215;Franklin India Overnight Fund - Daily Dividend Plan - Daily - IDCW;;INF090I01SM2;1000.0001;;;08-Jun-2025
147212;Franklin India Overnight Fund - Direct Daily Dividend Plan - Daily - IDCW;;INF090I01ST7;1000.0008;;;08-Jun-2025
147211;Franklin India Overnight Fund - Direct Weekly Dividend Plan - Weekly - IDCW;INF090I01SR1;INF090I01SQ3;1000.0026;;;08-Jun-2025
147216;Franklin India Overnight Fund - Weekly Dividend Plan - Weekly - IDCW;INF090I01SN0;INF090I01SP5;1000.0066;;;08-Jun-2025
147213;Franklin India Overnight fund- Growth;INF090I01SO8;;1341.8561;;;08-Jun-2025
147214;Franklin India Overnight Fund- Growth - Direct;INF090I01SS9;;1346.0206;;;08-Jun-2025
149445;Franklin India Overnight Fund- Unclaimed IDCW Investor Education Plan;;;10.0000;;;08-Jun-2025
149443;Franklin India Overnight Fund- Unclaimed IDCW Plan;;;12.2166;;;08-Jun-2025
149444;Franklin India Overnight Fund- Unclaimed Redemption Investor EducationPlan;;;10.0000;;;08-Jun-2025
149446;Franklin India Overnight Fund- Unclaimed Redemption Plan;;;12.2166;;;08-Jun-2025

Groww Mutual Fund
147458;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment);;INF666M01GM6;1001.152;;;08-Jun-2025
147452;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment);INF666M01GP9;INF666M01GQ7;1217.1356;;;08-Jun-2025
147450;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Growth Option;INF666M01GL8;;1331.0568;;;08-Jun-2025
147453;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment);INF666M01GR5;INF666M01GS3;1002.8299;;;08-Jun-2025
147451;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment);INF666M01GN4;INF666M01GO2;1003.031;;;08-Jun-2025
147455;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Regular Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment);;INF666M01GU9;1001.0306;;;08-Jun-2025
147457;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Regular Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment);INF666M01GX3;INF666M01GY1;1002.8825;;;08-Jun-2025
147454;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Regular Plan- Growth Option;INF666M01GT1;;1323.7857;;;08-Jun-2025
147459;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Regular Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment);INF666M01GZ8;INF666M01HA9;1002.465;;;08-Jun-2025
147456;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Regular Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment);INF666M01GV7;INF666M01GW5;1001.868;;;08-Jun-2025
149394;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Unclaimed Dividend < 3 years;;;1224.9186;;;08-Jun-2025
149396;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Unclaimed Redemption < 3 Years;;;1220.03;;;08-Jun-2025

HDFC Mutual Fund
119109;HDFC Overnight Fund - Daily IDCW Option - Direct Plan;;INF179KB1HY1;1042.66;;;08-Jun-2025
101996;HDFC Overnight Fund - Growth Option;INF179KB1HS3;;3791.5477;;;08-Jun-2025
119110;HDFC Overnight Fund - Growth Option - Direct Plan;INF179KB1HT1;;3828.0762;;;08-Jun-2025
101997;HDFC Overnight Fund - IDCW Option (Daily);;INF179KB1IF8;1042.66;;;08-Jun-2025

Helios Mutual Fund
152151;Helios Overnight Fund - Direct Plan - Daily IDCW Option;INF0R8701087;;1000.0000;;;08-Jun-2025
152152;Helios Overnight Fund - Direct Plan - Growth Option;INF0R8701079;;1108.6543;;;08-Jun-2025
152154;Helios Overnight Fund - Regular Plan - Daily IDCW Option;INF0R8701103;;1000.0000;;;08-Jun-2025
152153;Helios Overnight Fund - Regular Plan - Growth Option;INF0R8701095;;1107.7534;;;08-Jun-2025

